934 934 934 		"Direct connection"
934 934 934		"No VNF"
932 934 934			"1 Linux bridge"
932 911 934			"2 Linux bridges"
487 899 935		"4 Linux bridges"
323 847 935		"6 Linux bridges"
247 841	932		"8 Linux bridges"
193 839	933		"10 Linux bridges"	
